Mes,Dia,Semaforo,Observador,Estado,Colonia,Alcaldia,Sexo,Uso_cubrebocas,Uso_corrceto_Cubre,X,Uso_careta,Uso_correcto_careta,Uso_corr_careta,Observaciones
1,5,Rojo,CL,CDMX,INFONAVIT Iztacalco,Iztacalco ,M,N,NA,NN,N,N,NN,EN LA MANO
1,14,Rojo,LYCG,Querétaro,Los Heroes,El Marques,M,S,S,SS,N,N,NN,NA
3,1,Amarillo,AR,Veracruz,Tuxpan,Mercado,F,S,S,SS,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,M,N,N,NN,N,N,NN,NA
2,25,Naranja,BH,CDMX,Torres de padierna,Tlalpan,F,N,N,NN,N,N,NN,NA
